# 2D array, first index is level of noise, second index is mpol.
# Values of noise: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5 ]# Values of policy: ['1scale', '1scale', '1scale', '2scales']# Values of mpol1: [4 1 2 1]# Values of mpol2: [4 4 4 2]
8.448979591836734970e-01	1.037224489795918316e+02	1.075510204081632670e+00	4.403061224489795755e+00
3.819387755102040760e+00	1.082193877551020478e+02	1.203775510204081556e+01	1.033775510204081627e+01
4.607142857142856762e+00	1.396040816326530489e+02	1.375102040816326543e+01	2.168979591836734855e+01
7.766326530612245094e+00	2.155132653061224630e+02	1.891020408163265287e+01	3.533775510204081627e+01
1.094285714285714306e+01	2.159244897959183618e+02	3.253673469387754835e+01	3.709387755102040529e+01
8.191836734693877631e+00	2.350551020408163367e+02	2.722040816326530788e+01	4.346632653061224261e+01
9.179591836734694255e+00	2.243214285714285836e+02	3.215612244897959471e+01	7.063673469387755688e+01
9.007142857142858006e+00	1.427377551020408077e+02	3.958673469387755262e+01	6.578979591836734642e+01
9.698979591836733860e+00	2.781979591836734471e+02	4.383469387755101820e+01	9.450408163265305461e+01
9.354081632653061362e+00	3.353908163265306257e+02	3.945714285714285552e+01	7.134999999999999432e+01
9.590816326530612557e+00	3.659806122448979409e+02	5.399489795918367463e+01	7.739081632653061149e+01
