# 2D array, first index is level of noise, second index is mpol.
# Values of noise: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5 ]# Values of policy: ['1scale', '1scale', '1scale', '2scales']# Values of mpol1: [4 1 2 1]# Values of mpol2: [4 4 4 2]
5.080006301020408049e+06	5.198401659693877399e+07	1.807377508163265418e+06	1.580784431632653065e+07
1.625602016326530650e+07	5.201804941632653028e+07	6.299148836734693497e+06	1.574624287040816247e+07
3.928538206122449040e+07	5.234895756020408124e+07	2.005457106632652879e+07	1.834097050816326588e+07
6.163740978571428359e+07	5.174317983877550811e+07	2.007675637040816247e+07	1.832243587653061375e+07
7.518409325510203838e+07	5.265849518673469126e+07	1.501043701632652991e+07	1.923586058877551183e+07
7.484542616836734116e+07	5.294752063979592174e+07	2.009942327959183604e+07	1.771381484693877399e+07
8.669877420408163965e+07	5.294903489387755096e+07	2.428839389489796013e+07	1.938252354387754947e+07
1.012614589336734712e+08	5.323878569897959381e+07	3.080549909591836855e+07	1.891244085510203987e+07
1.124374727959183604e+08	5.172032793061224371e+07	2.264025603061224520e+07	1.875722444285714254e+07
1.205654828775510192e+08	5.293047584489795566e+07	3.266566721326530725e+07	1.977525357346938923e+07
1.093894690153061152e+08	5.337253107857143134e+07	2.583266468877550960e+07	1.908894370714285597e+07
