# 2D array, first index is level of noise, second index is mpol.
# Values of noise: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5 ]# Values of policy: ['1scale', '1scale', '1scale', '2scales']# Values of mpol1: [4 1 2 1]# Values of mpol2: [4 4 4 2]
1.422401764285714366e+07	2.621063591836734558e+05	3.020532671428571455e+06	1.107867295918367308e+05
6.366941230612245202e+07	9.621834801020408049e+06	5.678524859183673747e+06	6.267847112244898453e+05
1.337734992602040768e+08	2.213356747551020235e+07	1.178950493775510229e+07	2.712598294897959102e+06
1.388535055612244904e+08	1.724247310918367282e+07	3.047826512346938625e+07	2.823389810204081703e+06
1.500295194234693944e+08	1.987714582346938923e+07	2.451641571938775480e+07	4.624153105102040805e+06
1.927015723520408273e+08	2.493570485714285821e+07	1.798859704591836780e+07	3.480495054081632756e+06
2.008295824336734712e+08	1.875226114183673635e+07	2.917809101224489883e+07	6.099751968367346562e+06
2.330029556734693944e+08	1.695541272346938774e+07	3.672060352653060853e+07	7.436475273469387554e+06
2.353736252806122303e+08	2.494849948367346823e+07	4.376675859795918316e+07	6.635896883673469536e+06
2.377442948877550960e+08	2.146179619183673337e+07	4.220896940510204434e+07	9.125265726530611515e+06
2.282616164591836631e+08	2.622825589795918390e+07	4.409831367244897783e+07	9.890598712244898081e+06
