# 2D array, first index is level of noise, second index is mpol.
# Values of noise: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5 ]# Values of policy: ['1scale', '1scale', '1scale', '2scales']# Values of mpol1: [4 1 2 1]# Values of mpol2: [4 4 4 2]
1.000000000000000056e-01	2.081632653061224469e-01	1.520408163265306034e-01	9.183673469387755584e-02
4.806122448979591733e-01	4.285714285714285476e-01	6.999999999999999556e-01	7.265306122448980108e-01
8.020408163265305701e-01	1.322448979591836826e+00	1.129591836734693988e+00	1.379591836734693988e+00
1.171428571428571486e+00	1.703061224489796022e+00	1.560204081632653006e+00	2.317346938775510345e+00
1.420408163265306056e+00	1.927551020408163174e+00	1.888775510204081742e+00	2.833673469387754995e+00
1.884693877551020469e+00	3.381632653061224403e+00	2.777551020408163485e+00	3.884693877551020247e+00
1.658163265306122458e+00	3.978571428571428648e+00	3.093877551020407957e+00	4.579591836734693722e+00
1.897959183673469497e+00	5.219387755102040671e+00	3.693877551020408045e+00	5.116326530612244738e+00
1.817346938775510123e+00	5.886734693877550662e+00	4.037755102040816446e+00	5.723469387755102389e+00
2.163265306122449161e+00	7.638775510204081520e+00	4.309183673469387799e+00	6.857142857142856762e+00
2.126530612244898144e+00	6.702040816326531036e+00	4.889795918367346950e+00	6.122448979591836427e+00
